species,NSCA_DBH1,NSCA_DBH2,NSCA_DBH3,NSCA_DBH4,NSCA_DBH5
Rhabdophyllum.arnoldianum,2.483793162560342e-5,1.293833601883531e-4,5.910462349548519e-4,1.1905298396958194e-6,4.70736054170722e-5
Santiria.trimera,0.03463939733875684,0.11879460822958965,0.40773016799301404,0.3002234508710624,1.6476166419461462
Scorodophloeus.zenkeri,0.31797802434505545,0.060057749873654115,0.010386378415469265,0.21859611061856177,21.477735153691118
Sorindeia.africana,0.013022670111836448,0.06462562229059,0.4081816018679208,0.004270911442768168,0.02690809385997666
Staudtia.kamerunensis,0.018864637313573768,0.01623203672519495,0.07840590488167029,0.04227317323406207,0.07288974224060402
Strombosia.pustulata,0.15475906405696876,0.8761123875561314,3.612938589686479,0.009265412649476697,0.7934243427526456
Strombosiopsis.tetrandra,0.06127653845536742,0.170318517204914,0.599473543528777,0.0035774545075332527,0.1587321861428751
Uapaca.NA,0.008659770060553813,0.046172874221182686,0.36791138561024667,0.0033602477608575447,0.07950350216343222
Xylopia.hypolampra,0.0026287380316176974,0.008922302684460082,0.006802525920425985,0.0016605895786336138,0.0017914152865575624
Cleistopholis.glauca,0.003612250362607279,0.008646247467359865,0.0027594162900897662,0.002456269477142251,0.02164480671718166
Daniellia.pynaertii,8.138453359637353e-4,0.0027737713080304453,0.019864692320165446,1.0031932864404042e-4,0.011692690028858584
Dichapetalum.NA,2.5241896841930284e-5,1.576433081973235e-4,6.439071826171484e-4,1.1395136905024377e-6,7.820538023637877e-5
Heisteria.parvifolia,0.004741411222383029,0.016014822883720168,0.08703294769386186,7.838057260748918e-5,0.001728666765077247
Maprounea.membranacea,4.3513713891827813e-4,0.001727545101931722,0.010776249958293212,0.005868824885686396,0.018282886137544384
Markhamia.tomentosa,2.4309327660125538e-4,1.0522484743046125e-4,3.43630945450438e-4,2.6599987998718087e-5,4.28994657675892e-4
Massularia.acuminata,1.1752756905801175e-4,6.611585672309365e-4,0.004806923913221628,3.351018731180502e-5,4.198299635897805e-4
Milicia.excelsa,0.005417516287052726,0.0013229440198830225,0.03184665337859834,6.856323501830796e-4,4.890723311772269e-4
Millettia.laurentii,0.16645360000260698,1.1203366301622444,7.655880952310549,0.16623410859457347,0.9615456600336353
Olax.NA,1.8554771667205185e-4,6.020097747262387e-4,0.007206132552486842,1.7280542494680123e-5,8.866254356316394e-4
Picralima.nitida,4.1263016537106275e-4,0.001991632783355591,0.011728780776712784,1.5869840267332615e-5,0.0020074053659916093
Xylopia.aethiopica,0.032325286082072635,0.03553958940361956,0.0028591480730265377,1.2486772836798943e-5,0.019731430589068604
Anonidium.mannii,0.0032314236599466856,2.685585842729796e-5,0.007200795999569614,0.007031906469659084,2.0877284211301688
Cola.acuminata,1.5335433562533893e-4,2.629948256581439e-4,2.3088082893775295e-4,3.786362780125299e-5,0.001428013973121573
Garcinia.kola,2.886869091932439e-4,8.623747821951074e-4,0.0072418930326530314,9.821539422327767e-6,1.8584211026367588e-4
Millettia.NA,2.755024982128406e-7,6.200824766915259e-7,2.5208440700766083e-6,4.739717506087244e-8,3.6018333460346387e-7
Oncoba.welwitschii,0.0025054625435871705,5.88593077325377e-4,1.6641206309457384e-4,1.5270789898212474e-4,0.014732739970475752
Ricinodendron.heudelotii,0.014322141158274645,0.13628764071772417,7.251256451793458e-5,8.401945729668232e-5,0.0943412925242187
Rytigynia.NA,0.0027004816833228677,0.004367987197889154,8.291332233652088e-5,1.0001697353409553e-4,0.001388488259855331
Sclerocroton.cornutus,3.9214915501113235e-4,6.823154178483691e-4,0.004416701619053541,5.393902811764914e-5,3.194986989587994e-4
Tetrapleura.tetraptera,6.778127997684371e-6,6.861657343021905e-5,3.0630994745202325e-4,1.5630743825823464e-7,3.8578161119916185e-5
Uvaria.NA,3.2005082097903734e-5,1.9445385478254496e-4,0.0018354608622416022,6.1262858355144595e-6,4.7936302445950187e-4
Vitex.congolensis,1.0215741404466038e-4,3.796550269272162e-5,7.968665421750867e-5,1.6067042122664525e-5,0.005582995743232727
Zanthoxylum.gilletii,1.826119108421175e-5,9.234074066227755e-6,1.105780028130786e-6,9.403805164600525e-8,5.807854085803138e-4
Cola.diversifolia,3.6908506601015376e-5,1.811720467013342e-4,0.001523487280374309,5.061324297771552e-6,2.224428444069514e-4
Dialium.NA,7.9013115545363e-5,3.333191323708059e-4,0.0034411723843870558,3.4830882495401866e-5,0.0012344962522478655
