species,CA1,CA2,CA3,CA4,CA5
Funtumia elastica,0.8484224644731292,-0.5888818806051749,0.24126057397315034,-0.5300636830271397,-0.35907507619237566
Garcinia smeathmanii,-0.07781230182005956,0.12432514769219734,-0.358716676754296,-0.14344493132889752,0.611135455212107
Hymenocardia ulmoides,0.6190947191795316,-0.08004316486779328,0.1380049375653218,-0.04605854016975081,0.09172614370943838
Memecylon aff.myriantum,1.4722968401158676,-1.3065538742481593,0.5157329669729774,0.8928803105484981,-0.3915498007465559
Nauclea diderrichii,-0.2505987456168116,-1.2754636453818053,0.3787894116301654,0.39301657399523665,-0.5083920051357276
Pavetta sp,1.4722968401158676,-1.3065538742481593,0.5157329669729774,0.8928803105484981,-0.3915498007465559
Prioria oxyphylla,0.33367869056801863,0.23206388200755917,-0.29628552109709405,-0.2845567038318988,0.8891507219710437
Aphanocalyx cynometroides,0.2968945352767575,0.5353992365046395,-0.599687887134,-0.4972496715668524,1.5469411097450336
Cavacoa quintasii,0.3198519385476492,0.4934566863070952,-0.5541133517489373,-0.4637411884024242,1.4804156843908696
Celtis tessmannii,0.3548779025924724,0.0817666501469502,-0.1487965543209105,-0.1644598896883836,0.6257615337964998
Chrysophyllum sp.,0.2876044345020829,0.549659489454657,-0.5990071478270577,-0.5021627371804678,1.564599679148066
Cleistanthus mildbraedii,0.2952176103733187,0.4909037315252203,-0.5662082613324867,-0.4828218657412607,1.4361628911594708
Cynometra hankei,0.30942987560714,0.24194875947982836,-0.1469325224475999,-0.09007202889650803,0.5425356851072619
Dialium pentandrum,0.3073540177276208,0.5170877900847867,-0.5700309051659983,-0.4786636962735091,1.518449379354403
Dialium sp.,0.29329659887856147,0.49079219388888823,-0.5436617729369199,-0.46366151861632166,1.4424711165469444
Diospyros boala,0.3035802452753933,0.37400490945628057,-0.3454506600908912,-0.363996309565767,0.763586543001633
Diospyros hoyleana,-0.3843026719373244,-0.3819800242219766,-0.08291326114944422,-0.23156244868555118,0.08609640214413408
Diospyros sp.,0.2863011781918464,0.25260844163025564,-0.27756485372541984,-0.36552654863441175,0.881093604894369
Drypetes sp.,0.2871573251507469,0.4234457706656029,-0.425756131623223,-0.39405363587364445,1.212058666555288
Drypetes sp.1,0.28893159175560773,0.5476223104617973,-0.5991043962994781,-0.501460870664237,1.5620770263762045
Garcinia sp.,0.4377448506424,0.6306079456194479,-0.5694191730710517,-0.31526470315532856,0.4618652902806471
Gilletiodendron mildbraedii,0.29805579787359177,0.5336167048858872,-0.5997729795473677,-0.4966355383651506,1.5447337885696546
Guarea thompsonii,0.3267701942276552,0.27218017824247237,-0.24961774559095318,-0.24834696385858956,0.6216833654951219
Inconnu NA,0.3010070425308705,0.37810716360523994,-0.39830163944185526,-0.3713000430523185,1.1612191537310586
Irvingia sp.,0.2968945352767575,0.5353992365046395,-0.599687887134,-0.4972496715668524,1.5469411097450336
Isolona thonneri,0.2996154933422927,0.5303585047731026,-0.588235749242103,-0.49081110499681685,1.5384715257894672
Monopetalanthus sp.,0.2876044345020829,0.549659489454657,-0.5990071478270577,-0.5021627371804678,1.564599679148066
Parkia bicolor,0.005077255538859821,-0.028420963584799144,-0.23694168304092553,-0.9206954065985606,-0.16603600518125564
Quassia undulata,0.5124140321477471,0.0843663586854573,-0.24707047345597405,-0.13154971682648936,0.9383361236375635
Strombosia tetranda,0.2876044345020829,0.549659489454657,-0.5990071478270577,-0.5021627371804678,1.564599679148066
Tessmannia africana,0.2948395935810985,0.5010024316306224,-0.5281839573135391,-0.41791326420928476,1.339290174586771
Trichilia monadelpha,0.3171049123610432,0.4409059341616732,-0.49592538735557606,-0.46156599710634094,1.3417302673300116
Chrysophyllum dawi,0.30153958566409483,0.5282691100296307,-0.6000282567874712,-0.49479313876004505,1.5381118250435175
