respons;predictors;buffer;height_aboveground;xmin;RMSE;rRMSE;Rsquared;MAE;P_Value;model
WD.BA;proportion;50;7;66;;;;;;
WD.BA;proportion;50;7;67;;;;;;
WD.BA;proportion;50;7;68;;;;;;
WD.BA;proportion;50;7;69;;;;;;
WD.BA;proportion;50;7;70;;;;;;
WD.BA;proportion;50;7;71;;;;;;
WD.BA;proportion;50;7;72;;;;;;
WD.BA;proportion;50;7;73;;;;;;
WD.BA;proportion;50;7;74;;;;;;
WD.BA;proportion;50;7;75;;;;;;
WD.BA;proportion;50;7;76;;;;;;
WD.BA;proportion;50;7;77;;;;;;
WD.BA;proportion;50;7;78;;;;;;
WD.BA;proportion;50;7;79;;;;;;
WD.BA;proportion;50;7;80;;;;;;
WD.BA;proportion;50;7;81;;;;;;
WD.BA;proportion;50;7;82;;;;;;
WD.BA;proportion;50;7;83;;;;;;
WD.BA;proportion;50;7;84;;;;;;
WD.BA;proportion;50;7;85;;;;;;
WD.BA;proportion;50;7;86;;;;;;
WD.BA;proportion;50;7;87;;;;;;
WD.BA;proportion;50;7;88;;;;;;
WD.BA;proportion;50;7;89;;;;;;
WD.BA;proportion;50;7;90;;;;;;
WD.BA;proportion;50;7;91;;;;;;
WD.BA;proportion;50;7;92;;;;;;
WD.BA;proportion;50;7;93;;;;;;
WD.BA;proportion;50;7;94;;;;;;
WD.BA;proportion;50;7;95;;;;;;
WD.BA;proportion;50;7;96;;;;;;
WD.BA;proportion;50;7;97;;;;;;
WD.BA;proportion;50;7;98;;;;;;
WD.BA;proportion;50;7;99;;;;;;
WD.BA;proportion;50;7;100;;;;;;
WD.BA;proportion;50;7;101;;;;;;
WD.BA;proportion;50;7;102;;;;;;
WD.BA;proportion;50;7;103;;;;;;
WD.BA;proportion;50;7;104;;;;;;
WD.BA;proportion;50;7;105;;;;;;
WD.BA;proportion;50;7;106;;;;;;
WD.BA;proportion;50;7;107;;;;;;
WD.BA;proportion;50;7;108;;;;;;
WD.BA;proportion;50;7;109;;;;;;
WD.BA;proportion;50;7;110;;;;;;
WD.BA;proportion;50;7;111;;;;;;
WD.BA;proportion;50;7;112;;;;;;
WD.BA;proportion;50;7;113;;;;;;
