Temperament;plot_ref;Proportion;Type_Proportion;Type_subdivision
héliophile;M2P15;56,8452380952381;ind.rel;3
héliophile non pionnière;M2P15;21,4285714285714;ind.rel;3
tolérante à l'ombrage;M2P15;21,7261904761905;ind.rel;3
héliophile;M2P16;29,2;ind.rel;3
héliophile non pionnière;M2P16;18,4;ind.rel;3
tolérante à l'ombrage;M2P16;52,4;ind.rel;3
héliophile;M2P2;6,12691466083151;ind.rel;3
héliophile non pionnière;M2P2;24,0700218818381;ind.rel;3
tolérante à l'ombrage;M2P2;69,8030634573304;ind.rel;3
héliophile;M2P9;32,5;ind.rel;3
héliophile non pionnière;M2P9;19,1666666666667;ind.rel;3
tolérante à l'ombrage;M2P9;48,3333333333333;ind.rel;3
héliophile;MAB01h;1,41509433962264;ind.rel;3
héliophile non pionnière;MAB01h;10,377358490566;ind.rel;3
tolérante à l'ombrage;MAB01h;88,2075471698113;ind.rel;3
héliophile;MAB02h;8,5;ind.rel;3
héliophile non pionnière;MAB02h;18;ind.rel;3
tolérante à l'ombrage;MAB02h;73,5;ind.rel;3
héliophile;MAB03h;3,39425587467363;ind.rel;3
héliophile non pionnière;MAB03h;9,39947780678851;ind.rel;3
tolérante à l'ombrage;MAB03h;87,2062663185379;ind.rel;3
héliophile;MAB04h;7,48663101604278;ind.rel;3
héliophile non pionnière;MAB04h;9,62566844919786;ind.rel;3
tolérante à l'ombrage;MAB04h;82,8877005347594;ind.rel;3
héliophile;MAB05h;3,85674931129477;ind.rel;3
héliophile non pionnière;MAB05h;12,9476584022039;ind.rel;3
tolérante à l'ombrage;MAB05h;83,1955922865014;ind.rel;3
héliophile;MAB06h;3,06748466257669;ind.rel;3
héliophile non pionnière;MAB06h;10,4294478527607;ind.rel;3
tolérante à l'ombrage;MAB06h;86,5030674846626;ind.rel;3
héliophile;MAB07h;9,28571428571429;ind.rel;3
héliophile non pionnière;MAB07h;10,952380952381;ind.rel;3
tolérante à l'ombrage;MAB07h;79,7619047619048;ind.rel;3
